SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
MF,ABSLFTQBRQ,BIRLASLAMC - ABSLFTQBRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPMDQ,BIRLASLAMC - ABSLFTPMDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPMRQ,BIRLASLAMC - ABSLFTPMRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPWDQ,BIRLASLAMC - ABSLFTPWDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPWRQ,BIRLASLAMC - ABSLFTPWRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQLRQ,BIRLASLAMC - ABSLFTQLRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPJRQ,BIRLASLAMC - ABSLFTPJRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPJDQ,BIRLASLAMC - ABSLFTPJDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQKDQ,BIRLASLAMC - ABSLFTQKDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQCRQ,BIRLASLAMC - ABSLFTQCRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQCDQ,BIRLASLAMC - ABSLFTQCDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQYDQ,BIRLASLAMC - ABSLFTQYDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPGRQ,BIRLASLAMC - ABSLFTPGRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPGDQ,BIRLASLAMC - ABSLFTPGDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPURQ,BIRLASLAMC - ABSLFTPURQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPUDQ,BIRLASLAMC - ABSLFTPUDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPVRQ,BIRLASLAMC - ABSLFTPVRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPVDQ,BIRLASLAMC - ABSLFTPVDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
