MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N4,NTPC,8.66%S-R-NCD SERIES 1B,      1142.00,      1164.95,      1164.95,      1164.95,      1164.95,                    48927.90,42, ,1,      1512.00,      1090.00
N,N4,PFC,8.20% TAX FREE NCD,      1059.77,      1058.00,      1058.00,      1057.50,      1058.00,                   814658.00,770, ,10,      1148.99,      1015.00
N,N4,RHFL,SEC RED NCD 9.05% SR. II,       218.00,       250.00,       250.00,       177.50,       177.50,                      427.50,2, ,2,       517.20,       112.00
N,N5,DHANILOANS,DHANI LOANS & SERV LTD,      1098.00,      1075.10,      1075.10,      1075.10,      1075.10,                     1075.10,1, ,1,      1120.00,       720.08
N,N5,ERFLNCDI,SEC RED NCD 8.88% SR. V,       866.01,       865.05,       885.00,       865.05,       865.05,                    70760.10,80, ,19,       900.75,       650.10
N,N5,HUDCO,7.51 NCD 16FEB28 TR1 SR2,      1265.00,      1270.00,      1270.00,      1267.00,      1267.00,                   126850.00,100, ,2,      1270.00,       905.15
N,N5,IDFCFIRSTB,BOND 8% 2021 TR-2 SR-I,      5315.00,      5316.00,      5316.00,      5312.05,      5312.05,                    58457.20,11, ,3,      5400.00,      4601.00
N,N5,IIFL,SEC RED NCD 10.20 % SR.IV,      1104.79,      1104.79,      1106.40,      1104.79,      1106.40,                   193611.95,175, ,11,      1120.00,       831.00
N,N5,L&TINFRA,BOND 8.20% PA S1,      1066.35,      1060.25,      1066.35,      1060.25,      1066.00,                   480260.30,451, ,14,      1149.00,       942.00
N,N5,SBIN,BOND 9.95% PA RET. S4,     10918.14,     10925.00,     10935.00,     10901.00,     10926.77,                  9652289.40,884, ,94,     12299.00,     10200.00
N,N6,DHANILOANS,DHANI LOANS & SERV LTD,       985.00,       985.00,       985.00,       985.00,       985.00,                   108350.00,110, ,2,      1029.00,       760.00
N,N6,DHFL,SEC RED NCD 8.93% SR. 3B,       335.00,       350.00,       350.00,       350.00,       350.00,                      350.00,1, ,1,       390.00,       166.60
N,N6,EHFLNCD,SEC RED NCD 10% SR. VI,       907.40,       907.00,       909.00,       907.00,       909.00,                   127203.77,140, ,6,       948.00,       562.00
N,N6,IBULHSGFIN,SEC RED NCD 8.90% SR. III,       990.00,       992.00,       992.00,       971.00,       981.00,                   376511.70,382, ,9,      1019.70,       685.05
N,N6,L&TINFRA,BOND 8.30% PA CUM. S2,      2175.00,      2175.00,      2177.98,      2174.00,      2177.50,                  1189936.76,547, ,40,      2200.00,      1600.10
N,N6,NHAI,8.75% TAX FREE TR I S IIB,      1356.60,      1364.00,      1364.00,      1360.49,      1361.99,                   481814.82,354, ,13,      1364.00,      1151.01
N,N6,NHBTF2014,BOND 9.01%PA TF TR-I S 3B,      7550.00,      7580.00,      7599.90,      7580.00,      7590.00,                   493717.10,65, ,4,      7650.00,      6300.00
N,N6,NTPC,8.91%S-R-NCD SERIES 3B,      1438.00,      1437.00,      1448.80,      1437.00,      1439.99,                   432175.90,300, ,15,      1520.01,      1242.01
N,N6,RECLTD,BOND 8.46% TAX FREE S2A,      1251.13,      1244.00,      1244.00,      1244.00,      1244.00,                     1244.00,1, ,1,      1494.00,      1170.00
N,N6,RHFL,SEC RED NCD 9.15% SR III,       190.00,       195.00,       212.00,       176.00,       176.00,                    37048.00,179, ,12,       350.00,       101.50
N,N6,TATACAPHSG,SEC RED NCD 8.30% SR.III,      1113.00,      1100.00,      1110.00,      1100.00,      1108.75,                   283741.00,257, ,7,      1300.00,       800.00
N,N7,DHANILOANS,DHANI LOANS & SERV LTD,       987.00,       999.00,       999.00,       965.00,       965.00,                    85192.00,88, ,3,      1139.00,       676.00
N,N7,IDFCFIRSTB,BOND 8.25% 2021 TR-3 SR-I,      5287.00,      4889.50,      4889.50,      4889.50,      4889.50,                    19558.00,4, ,1,      5900.00,      4801.00
N,N7,IIFL,UNSEC RED NCD 10.5% SR.VI,      1080.00,      1021.00,      1021.00,      1021.00,      1021.00,                     5105.00,5, ,1,      1080.05,       931.60
N,N7,NTPC,8.49% SEC NON-CUM RED NCD,        14.52,        14.52,        14.55,        14.50,        14.53,                   230317.65,15849, ,129,        14.94,        11.40
N,N8,DHANILOANS,DHANI LOANS & SERV LTD,       991.34,       981.10,       982.21,       980.01,       980.01,                    55880.92,57, ,4,      1002.00,       520.62
