MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,HILTON,HILTON METAL FORGING LTD,        10.85,        11.20,        11.35,        10.50,        11.30,                   260807.60,23710,N, ,211,        13.35,         6.50
N,EQ,HIMATSEIDE,HIMATSINGKA SEIDE LTD,       147.55,       146.75,       148.80,       142.50,       143.30,                 24693364.35,170493,N, ,3554,       165.80,        42.95
N,EQ,HINDCOMPOS,HINDUSTAN COMPOSITES LTD.,       222.80,       220.45,       229.00,       220.10,       222.50,                   892418.65,3955,N, ,360,       253.80,        94.95
N,EQ,HINDCOPPER,HINDUSTAN COPPER LTD,        61.30,        61.70,        62.45,        59.65,        60.40,                184836708.55,3021392,N, ,12001,        67.45,        18.25
N,EQ,HINDMOTORS,HINDUSTAN MOTORS LIMITED,         7.65,         7.80,         7.90,         7.55,         7.80,                  2717614.20,351779,N, ,643,         8.55,         2.60
N,EQ,HINDNATGLS,HIND NATL GLASS & IND LTD,        32.50,        32.50,        36.95,        32.50,        34.90,                  7653514.00,219269,N, ,1169,        48.30,        22.50
N,EQ,HINDOILEXP,HINDUSTAN OIL EXPLORATION,        90.10,        91.40,        92.90,        88.50,        89.85,                 60054238.55,662365,N, ,5440,       109.50,        31.00
N,EQ,HIRECT,HIND RECTIFIER LIMITED,       144.00,       145.50,       149.90,       143.10,       144.00,                  2677912.10,18368,N, ,464,       269.00,        89.00
N,EQ,HISARMETAL,HISAR METAL IND. LIMITED,        83.25,        85.10,        86.95,        81.20,        83.15,                   800919.10,9510,N, ,161,        99.95,        35.20
N,EQ,HITECH,HI-TECH PIPES LIMITED,       210.25,       220.00,       220.00,       198.30,       204.60,                 24094269.80,116812,N, ,775,       220.00,        65.30
N,EQ,HITECHCORP,HITECH CORPORATION LTD,       108.80,       111.00,       112.60,       106.00,       107.25,                   752945.95,6949,N, ,124,       131.70,        40.05
N,EQ,HLVLTD,HLV LIMITED,         4.90,         4.90,         5.10,         4.90,         5.05,                   630085.45,125190,N, ,284,         6.30,         2.90
N,EQ,HMVL,HINDUSTAN MEDIA VENT LTD,        55.15,        54.95,        58.00,        54.50,        56.50,                  5791511.10,101667,N, ,2644,        87.60,        35.00
N,EQ,HNDFDS,HINDUSTAN FOODS LIMITED,      1194.80,      1218.00,      1312.30,      1200.00,      1298.50,                 56371895.80,44789,N, ,4471,      1312.30,       380.00
N,EQ,HONAUT,HONEYWELL AUTOMATION IND,     37260.50,     37500.00,     38870.00,     37350.25,     38250.35,                884001170.55,23005,N, ,10362,     39524.95,     20148.60
N,EQ,HONDAPOWER,HONDA I POWER PRODUCT LTD,      1072.00,      1089.00,      1089.05,      1045.05,      1058.00,                 12274966.10,11577,N, ,1496,      1310.00,       726.00
G,EQ,HOTELRUGBY,HOTEL RUGBY LTD,         1.30,         1.25,         1.25,         1.25,         1.25,                     6730.00,5384,N, ,7,         1.85,          .90
N,EQ,HPL,HPL ELECTRIC & POWER LTD,        42.50,        42.65,        43.40,        41.25,        41.70,                 13807055.90,325968,N, ,1920,        49.50,        18.35
